Country,Year,Month,Events,Fatalities
Haiti,2018,January,0,0
Haiti,2018,February,3,1
Haiti,2018,March,5,3
Haiti,2018,April,8,6
Haiti,2018,May,10,12
Haiti,2018,June,4,3
Haiti,2018,July,10,9
Haiti,2018,August,8,3
Haiti,2018,September,14,9
Haiti,2018,October,20,12
Haiti,2018,November,17,92
Haiti,2018,December,12,10
Haiti,2019,January,7,5
Haiti,2019,February,5,3
Haiti,2019,March,16,16
Haiti,2019,April,13,53
Haiti,2019,May,18,12
Haiti,2019,June,14,11
Haiti,2019,July,10,14
Haiti,2019,August,14,11
Haiti,2019,September,22,11
Haiti,2019,October,28,20
Haiti,2019,November,37,39
Haiti,2019,December,15,12
Haiti,2020,January,23,17
Haiti,2020,February,29,20
Haiti,2020,March,21,19
Haiti,2020,April,16,18
Haiti,2020,May,20,29
Haiti,2020,June,23,30
Haiti,2020,July,44,82
Haiti,2020,August,31,42
Haiti,2020,September,29,20
Haiti,2020,October,48,34
Haiti,2020,November,47,41
Haiti,2020,December,29,8
Haiti,2021,January,45,17
Haiti,2021,February,32,12
Haiti,2021,March,34,28
Haiti,2021,April,51,25
Haiti,2021,May,31,35
Haiti,2021,June,25,43
Haiti,2021,July,18,11
Haiti,2021,August,30,11
Haiti,2021,September,35,23
Haiti,2021,October,44,15
Haiti,2021,November,39,15
Haiti,2021,December,40,22
Haiti,2022,January,36,43
Haiti,2022,February,39,20
Haiti,2022,March,35,12
Haiti,2022,April,43,131
Haiti,2022,May,64,70
Haiti,2022,June,42,20
Haiti,2022,July,72,47
Haiti,2022,August,24,23
Haiti,2022,September,38,36
Haiti,2022,October,55,98
Haiti,2022,November,40,136
Haiti,2022,December,31,33
Haiti,2023,January,35,21
Haiti,2023,February,58,74
Haiti,2023,March,100,101
Haiti,2023,April,64,265
Haiti,2023,May,59,174
Haiti,2023,June,33,31
Haiti,2023,July,60,69
Haiti,2023,August,74,67
Haiti,2023,September,37,52
Haiti,2023,October,49,50
Haiti,2023,November,59,50
Haiti,2023,December,48,55
Haiti,2024,January,67,160
Haiti,2024,February,59,65
Haiti,2024,March,72,95
Haiti,2024,April,50,63
Haiti,2024,May,59,53
Haiti,2024,June,28,51
Haiti,2024,July,42,39
Haiti,2024,August,35,59
Haiti,2024,September,34,42
Haiti,2024,October,59,208
Haiti,2024,November,106,183
Haiti,2024,December,79,579
Haiti,2025,January,103,286
Haiti,2025,February,131,188
Haiti,2025,March,126,321
Haiti,2025,April,59,151
Haiti,2025,May,56,133
Haiti,2025,June,51,80
Haiti,2025,July,57,79
Haiti,2025,August,38,52
Haiti,2025,September,30,91
Haiti,2025,October,57,63
Haiti,2025,November,62,83
Haiti,2025,December,44,147
Haiti,2026,January,43,54
Haiti,2026,February,30,27
Haiti,2026,March,26,67
Haiti,2026,April,13,6
Lebanon,2016,January,9,1
Lebanon,2016,February,7,1
Lebanon,2016,March,7,1
Lebanon,2016,April,8,1
Lebanon,2016,May,11,0
Lebanon,2016,June,12,23
Lebanon,2016,July,11,2
Lebanon,2016,August,9,1
Lebanon,2016,September,14,3
Lebanon,2016,October,2,1
Lebanon,2016,November,5,0
Lebanon,2016,December,5,1
Lebanon,2017,January,7,2
Lebanon,2017,February,4,2
Lebanon,2017,March,6,1
Lebanon,2017,April,3,2
Lebanon,2017,May,6,3
Lebanon,2017,June,8,7
Lebanon,2017,July,4,4
Lebanon,2017,August,4,2
Lebanon,2017,September,6,1
Lebanon,2017,October,3,0
Lebanon,2017,November,4,1
Lebanon,2017,December,3,0
Lebanon,2018,January,0,0
Lebanon,2018,February,3,0
Lebanon,2018,March,4,3
Lebanon,2018,April,5,0
Lebanon,2018,May,4,2
Lebanon,2018,June,4,1
Lebanon,2018,July,4,1
Lebanon,2018,August,0,0
Lebanon,2018,September,1,1
Lebanon,2018,October,3,1
Lebanon,2018,November,0,0
Lebanon,2018,December,2,0
Lebanon,2019,January,2,0
Lebanon,2019,February,3,0
Lebanon,2019,March,1,0
Lebanon,2019,April,4,1
Lebanon,2019,May,5,1
Lebanon,2019,June,7,1
Lebanon,2019,July,3,0
Lebanon,2019,August,3,1
Lebanon,2019,September,1,1
Lebanon,2019,October,4,0
Lebanon,2019,November,7,0
Lebanon,2019,December,5,0
Lebanon,2020,January,11,0
Lebanon,2020,February,6,0
Lebanon,2020,March,3,1
Lebanon,2020,April,6,0
Lebanon,2020,May,10,0
Lebanon,2020,June,7,0
Lebanon,2020,July,3,0
Lebanon,2020,August,4,0
Lebanon,2020,September,7,1
Lebanon,2020,October,5,0
Lebanon,2020,November,8,1
Lebanon,2020,December,5,2
Lebanon,2021,January,4,0
Lebanon,2021,February,8,2
Lebanon,2021,March,5,0
Lebanon,2021,April,6,3
Lebanon,2021,May,11,0
Lebanon,2021,June,7,1
Lebanon,2021,July,9,1
Lebanon,2021,August,9,0
Lebanon,2021,September,2,0
Lebanon,2021,October,3,0
Lebanon,2021,November,2,0
Lebanon,2021,December,0,0
Lebanon,2022,January,1,0
Lebanon,2022,February,0,0
Lebanon,2022,March,1,0
Lebanon,2022,April,6,0
Lebanon,2022,May,16,0
Lebanon,2022,June,5,0
Lebanon,2022,July,3,0
Lebanon,2022,August,5,1
Lebanon,2022,September,6,1
Lebanon,2022,October,5,1
Lebanon,2022,November,2,0
Lebanon,2022,December,0,0
Lebanon,2023,January,2,1
Lebanon,2023,February,2,1
Lebanon,2023,March,3,0
Lebanon,2023,April,8,6
Lebanon,2023,May,2,0
Lebanon,2023,June,1,0
Lebanon,2023,July,4,4
Lebanon,2023,August,6,1
Lebanon,2023,September,3,0
Lebanon,2023,October,33,15
Lebanon,2023,November,25,20
Lebanon,2023,December,24,5
Lebanon,2024,January,12,7
Lebanon,2024,February,10,8
Lebanon,2024,March,23,24
Lebanon,2024,April,25,7
Lebanon,2024,May,21,10
Lebanon,2024,June,28,4
Lebanon,2024,July,20,5
Lebanon,2024,August,36,6
Lebanon,2024,September,97,754
Lebanon,2024,October,250,536
Lebanon,2024,November,326,753
Lebanon,2024,December,27,18
Lebanon,2025,January,64,35
Lebanon,2025,February,23,6
Lebanon,2025,March,27,5
Lebanon,2025,April,21,7
Lebanon,2025,May,38,6
Lebanon,2025,June,25,4
Lebanon,2025,July,14,4
Lebanon,2025,August,23,5
Lebanon,2025,September,12,3
Lebanon,2025,October,27,7
Lebanon,2025,November,20,1
Lebanon,2025,December,7,0
Lebanon,2026,January,23,6
Lebanon,2026,February,7,2
Lebanon,2026,March,330,765
Lebanon,2026,April,258,542
Mali,1997,January,0,0
Mali,1997,February,0,0
Mali,1997,March,0,0
Mali,1997,April,0,0
Mali,1997,May,1,0
Mali,1997,June,0,0
Mali,1997,July,0,0
Mali,1997,August,0,0
Mali,1997,September,0,0
Mali,1997,October,0,0
Mali,1997,November,1,0
Mali,1997,December,0,0
Mali,1998,January,0,0
Mali,1998,February,0,0
Mali,1998,March,0,0
Mali,1998,April,0,0
Mali,1998,May,1,0
Mali,1998,June,0,0
Mali,1998,July,0,0
Mali,1998,August,0,0
Mali,1998,September,0,0
Mali,1998,October,0,0
Mali,1998,November,0,0
Mali,1998,December,0,0
Mali,1999,January,0,0
Mali,1999,February,0,0
Mali,1999,March,0,0
Mali,1999,April,0,0
Mali,1999,May,0,0
Mali,1999,June,0,0
Mali,1999,July,0,0
Mali,1999,August,2,9
Mali,1999,September,0,0
Mali,1999,October,0,0
Mali,1999,November,0,0
Mali,1999,December,0,0
Mali,2000,January,1,3
Mali,2000,February,0,0
Mali,2000,March,2,5
Mali,2000,April,0,0
Mali,2000,May,0,0
Mali,2000,June,0,0
Mali,2000,July,0,0
Mali,2000,August,0,0
Mali,2000,September,0,0
Mali,2000,October,0,0
Mali,2000,November,0,0
Mali,2000,December,0,0
Mali,2001,January,1,0
Mali,2001,February,0,0
Mali,2001,March,0,0
Mali,2001,April,0,0
Mali,2001,May,0,0
Mali,2001,June,0,0
Mali,2001,July,0,0
Mali,2001,August,0,0
Mali,2001,September,0,0
Mali,2001,October,1,2
Mali,2001,November,0,0
Mali,2001,December,0,0
Mali,2002,January,0,0
Mali,2002,February,0,0
Mali,2002,March,0,0
Mali,2002,April,0,0
Mali,2002,May,0,0
Mali,2002,June,0,0
Mali,2002,July,0,0
Mali,2002,August,1,5
Mali,2002,September,0,0
Mali,2002,October,0,0
Mali,2002,November,0,0
Mali,2002,December,0,0
Mali,2003,January,0,0
Mali,2003,February,0,0
Mali,2003,March,0,0
Mali,2003,April,0,0
Mali,2003,May,0,0
Mali,2003,June,0,0
Mali,2003,July,0,0
Mali,2003,August,1,13
Mali,2003,September,0,0
Mali,2003,October,0,0
Mali,2003,November,0,0
Mali,2003,December,0,0
Mali,2004,January,0,0
Mali,2004,February,1,0
Mali,2004,March,0,0
Mali,2004,April,0,0
Mali,2004,May,0,0
Mali,2004,June,0,0
Mali,2004,July,0,0
Mali,2004,August,0,0
Mali,2004,September,0,0
Mali,2004,October,0,0
Mali,2004,November,0,0
Mali,2004,December,0,0
Mali,2005,January,0,0
Mali,2005,February,0,0
Mali,2005,March,0,0
Mali,2005,April,0,0
Mali,2005,May,0,0
Mali,2005,June,0,0
Mali,2005,July,0,0
Mali,2005,August,0,0
Mali,2005,September,0,0
Mali,2005,October,0,0
Mali,2005,November,0,0
Mali,2005,December,0,0
Mali,2006,January,0,0
Mali,2006,February,0,0
Mali,2006,March,0,0
Mali,2006,April,0,0
Mali,2006,May,0,0
Mali,2006,June,0,0
Mali,2006,July,0,0
Mali,2006,August,0,0
Mali,2006,September,0,0
Mali,2006,October,0,0
Mali,2006,November,0,0
Mali,2006,December,0,0
Mali,2007,January,0,0
Mali,2007,February,0,0
Mali,2007,March,0,0
Mali,2007,April,0,0
Mali,2007,May,0,0
Mali,2007,June,0,0
Mali,2007,July,0,0
Mali,2007,August,1,0
Mali,2007,September,0,0
Mali,2007,October,1,0
Mali,2007,November,0,0
Mali,2007,December,0,0
Mali,2008,January,0,0
Mali,2008,February,0,0
Mali,2008,March,1,5
Mali,2008,April,1,2
Mali,2008,May,0,0
Mali,2008,June,0,0
Mali,2008,July,0,0
Mali,2008,August,0,0
Mali,2008,September,0,0
Mali,2008,October,1,1
Mali,2008,November,0,0
Mali,2008,December,1,2
Mali,2009,January,1,0
Mali,2009,February,0,0
Mali,2009,March,0,0
Mali,2009,April,0,0
Mali,2009,May,0,0
Mali,2009,June,0,0
Mali,2009,July,0,0
Mali,2009,August,1,10
Mali,2009,September,0,0
Mali,2009,October,0,0
Mali,2009,November,1,0
Mali,2009,December,0,0
Mali,2010,January,1,0
Mali,2010,February,1,1
Mali,2010,March,1,1
Mali,2010,April,0,0
Mali,2010,May,0,0
Mali,2010,June,0,0
Mali,2010,July,0,0
Mali,2010,August,1,1
Mali,2010,September,0,0
Mali,2010,October,0,0
Mali,2010,November,0,0
Mali,2010,December,0,0
Mali,2011,January,1,0
Mali,2011,February,0,0
Mali,2011,March,0,0
Mali,2011,April,0,0
Mali,2011,May,0,0
Mali,2011,June,2,15
Mali,2011,July,0,0
Mali,2011,August,0,0
Mali,2011,September,2,2
Mali,2011,October,1,0
Mali,2011,November,2,1
Mali,2011,December,1,1
Mali,2012,January,2,0
Mali,2012,February,5,3
Mali,2012,March,6,5
Mali,2012,April,10,8
Mali,2012,May,9,8
Mali,2012,June,9,8
Mali,2012,July,14,10
Mali,2012,August,23,16
Mali,2012,September,7,17
Mali,2012,October,7,18
Mali,2012,November,3,3
Mali,2012,December,1,2
Mali,2013,January,23,75
Mali,2013,February,13,22
Mali,2013,March,11,59
Mali,2013,April,4,0
Mali,2013,May,1,0
Mali,2013,June,5,1
Mali,2013,July,3,0
Mali,2013,August,1,1
Mali,2013,September,3,0
Mali,2013,October,1,4
Mali,2013,November,6,31
Mali,2013,December,2,2
Mali,2014,January,1,0
Mali,2014,February,8,31
Mali,2014,March,0,0
Mali,2014,April,3,2
Mali,2014,May,7,5
Mali,2014,June,0,0
Mali,2014,July,1,0
Mali,2014,August,1,0
Mali,2014,September,4,6
Mali,2014,October,0,0
Mali,2014,November,7,5
Mali,2014,December,3,0
Mali,2015,January,3,5
Mali,2015,February,0,0
Mali,2015,March,4,9
Mali,2015,April,10,15
Mali,2015,May,5,7
Mali,2015,June,3,3
Mali,2015,July,2,13
Mali,2015,August,2,11
Mali,2015,September,1,0
Mali,2015,October,2,4
Mali,2015,November,2,4
Mali,2015,December,1,3
Mali,2016,January,2,2
Mali,2016,February,3,4
Mali,2016,March,1,1
Mali,2016,April,7,15
Mali,2016,May,6,14
Mali,2016,June,3,17
Mali,2016,July,3,6
Mali,2016,August,0,0
Mali,2016,September,1,1
Mali,2016,October,4,5
Mali,2016,November,5,9
Mali,2016,December,7,15
Mali,2017,January,11,13
Mali,2017,February,11,41
Mali,2017,March,11,8
Mali,2017,April,12,6
Mali,2017,May,16,11
Mali,2017,June,19,32
Mali,2017,July,14,78
Mali,2017,August,8,10
Mali,2017,September,14,6
Mali,2017,October,9,16
Mali,2017,November,11,11
Mali,2017,December,11,20
Mali,2018,January,5,30
Mali,2018,February,17,33
Mali,2018,March,27,47
Mali,2018,April,18,53
Mali,2018,May,33,97
Mali,2018,June,26,117
Mali,2018,July,34,94
Mali,2018,August,12,32
Mali,2018,September,25,82
Mali,2018,October,35,72
Mali,2018,November,31,85
Mali,2018,December,36,129
Mali,2019,January,25,94
Mali,2019,February,37,102
Mali,2019,March,24,187
Mali,2019,April,33,60
Mali,2019,May,28,44
Mali,2019,June,37,152
Mali,2019,July,22,42
Mali,2019,August,28,34
Mali,2019,September,20,35
Mali,2019,October,15,12
Mali,2019,November,16,32
Mali,2019,December,37,82
Mali,2020,January,26,59
Mali,2020,February,38,168
Mali,2020,March,49,157
Mali,2020,April,38,76
Mali,2020,May,36,144
Mali,2020,June,44,94
Mali,2020,July,45,51
Mali,2020,August,29,26
Mali,2020,September,40,35
Mali,2020,October,40,59
Mali,2020,November,52,59
Mali,2020,December,26,34
Mali,2021,January,36,62
Mali,2021,February,23,17
Mali,2021,March,28,29
Mali,2021,April,51,24
Mali,2021,May,65,72
Mali,2021,June,52,31
Mali,2021,July,76,61
Mali,2021,August,57,71
Mali,2021,September,47,36
Mali,2021,October,31,36
Mali,2021,November,25,17
Mali,2021,December,35,75
Mali,2022,January,26,57
Mali,2022,February,33,72
Mali,2022,March,52,808
Mali,2022,April,51,128
Mali,2022,May,71,140
Mali,2022,June,61,274
Mali,2022,July,53,82
Mali,2022,August,59,128
Mali,2022,September,47,158
Mali,2022,October,68,93
Mali,2022,November,90,135
Mali,2022,December,57,157
Mali,2023,January,86,100
Mali,2023,February,69,109
Mali,2023,March,53,141
Mali,2023,April,78,142
Mali,2023,May,76,167
Mali,2023,June,73,113
Mali,2023,July,61,117
Mali,2023,August,69,160
Mali,2023,September,40,116
Mali,2023,October,91,362
Mali,2023,November,86,243
Mali,2023,December,83,222
Mali,2024,January,82,208
Mali,2024,February,81,234
Mali,2024,March,67,172
Mali,2024,April,70,142
Mali,2024,May,67,190
Mali,2024,June,68,155
Mali,2024,July,41,197
Mali,2024,August,55,133
Mali,2024,September,30,34
Mali,2024,October,66,139
Mali,2024,November,59,89
Mali,2024,December,65,103
Mali,2025,January,71,166
Mali,2025,February,63,143
Mali,2025,March,65,119
Mali,2025,April,43,110
Mali,2025,May,55,89
Mali,2025,June,37,49
Mali,2025,July,39,83
Mali,2025,August,35,36
Mali,2025,September,47,115
Mali,2025,October,51,146
Mali,2025,November,58,98
Mali,2025,December,61,76
Mali,2026,January,63,56
Mali,2026,February,50,62
Mali,2026,March,46,87
Mali,2026,April,27,22
Mozambique,1997,January,0,0
Mozambique,1997,February,0,0
Mozambique,1997,March,0,0
Mozambique,1997,April,0,0
Mozambique,1997,May,0,0
Mozambique,1997,June,0,0
Mozambique,1997,July,2,0
Mozambique,1997,August,0,0
Mozambique,1997,September,0,0
Mozambique,1997,October,0,0
Mozambique,1997,November,1,0
Mozambique,1997,December,0,0
Mozambique,1998,January,0,0
Mozambique,1998,February,0,0
Mozambique,1998,March,0,0
Mozambique,1998,April,0,0
Mozambique,1998,May,0,0
Mozambique,1998,June,0,0
Mozambique,1998,July,0,0
Mozambique,1998,August,0,0
Mozambique,1998,September,0,0
Mozambique,1998,October,1,0
Mozambique,1998,November,0,0
Mozambique,1998,December,0,0
Mozambique,1999,January,0,0
Mozambique,1999,February,0,0
Mozambique,1999,March,0,0
Mozambique,1999,April,0,0
Mozambique,1999,May,0,0
Mozambique,1999,June,0,0
Mozambique,1999,July,0,0
Mozambique,1999,August,0,0
Mozambique,1999,September,0,0
Mozambique,1999,October,0,0
Mozambique,1999,November,1,0
Mozambique,1999,December,0,0
Mozambique,2000,January,3,1
Mozambique,2000,February,0,0
Mozambique,2000,March,0,0
Mozambique,2000,April,0,0
Mozambique,2000,May,0,0
Mozambique,2000,June,0,0
Mozambique,2000,July,0,0
Mozambique,2000,August,0,0
Mozambique,2000,September,0,0
Mozambique,2000,October,0,0
Mozambique,2000,November,2,1
Mozambique,2000,December,0,0
Mozambique,2001,January,0,0
Mozambique,2001,February,0,0
Mozambique,2001,March,0,0
Mozambique,2001,April,0,0
Mozambique,2001,May,0,0
Mozambique,2001,June,0,0
Mozambique,2001,July,0,0
Mozambique,2001,August,0,0
Mozambique,2001,September,0,0
Mozambique,2001,October,0,0
Mozambique,2001,November,0,0
Mozambique,2001,December,0,0
Mozambique,2002,January,0,0
Mozambique,2002,February,0,0
Mozambique,2002,March,1,0
Mozambique,2002,April,1,0
Mozambique,2002,May,0,0
Mozambique,2002,June,0,0
Mozambique,2002,July,0,0
Mozambique,2002,August,0,0
Mozambique,2002,September,0,0
Mozambique,2002,October,0,0
Mozambique,2002,November,0,0
Mozambique,2002,December,0,0
Mozambique,2003,January,1,0
Mozambique,2003,February,1,0
Mozambique,2003,March,0,0
Mozambique,2003,April,1,0
Mozambique,2003,May,2,0
Mozambique,2003,June,0,0
Mozambique,2003,July,0,0
Mozambique,2003,August,1,0
Mozambique,2003,September,0,0
Mozambique,2003,October,0,0
Mozambique,2003,November,4,0
Mozambique,2003,December,3,0
Mozambique,2004,January,1,2
Mozambique,2004,February,1,0
Mozambique,2004,March,1,0
Mozambique,2004,April,6,0
Mozambique,2004,May,0,0
Mozambique,2004,June,0,0
Mozambique,2004,July,0,0
Mozambique,2004,August,0,0
Mozambique,2004,September,1,0
Mozambique,2004,October,5,0
Mozambique,2004,November,5,0
Mozambique,2004,December,3,0
Mozambique,2005,January,2,0
Mozambique,2005,February,0,0
Mozambique,2005,March,0,0
Mozambique,2005,April,1,0
Mozambique,2005,May,2,0
Mozambique,2005,June,0,0
Mozambique,2005,July,0,0
Mozambique,2005,August,1,0
Mozambique,2005,September,0,0
Mozambique,2005,October,1,0
Mozambique,2005,November,0,0
Mozambique,2005,December,0,0
Mozambique,2006,January,0,0
Mozambique,2006,February,0,0
Mozambique,2006,March,1,0
Mozambique,2006,April,1,0
Mozambique,2006,May,0,0
Mozambique,2006,June,1,0
Mozambique,2006,July,1,2
Mozambique,2006,August,0,0
Mozambique,2006,September,0,0
Mozambique,2006,October,0,0
Mozambique,2006,November,0,0
Mozambique,2006,December,0,0
Mozambique,2007,January,0,0
Mozambique,2007,February,0,0
Mozambique,2007,March,1,0
Mozambique,2007,April,1,0
Mozambique,2007,May,0,0
Mozambique,2007,June,0,0
Mozambique,2007,July,0,0
Mozambique,2007,August,0,0
Mozambique,2007,September,0,0
Mozambique,2007,October,0,0
Mozambique,2007,November,1,0
Mozambique,2007,December,1,0
Mozambique,2008,January,1,0
Mozambique,2008,February,0,0
Mozambique,2008,March,0,0
Mozambique,2008,April,1,2
Mozambique,2008,May,0,0
Mozambique,2008,June,0,0
Mozambique,2008,July,1,0
Mozambique,2008,August,0,0
Mozambique,2008,September,0,0
Mozambique,2008,October,0,0
Mozambique,2008,November,2,0
Mozambique,2008,December,2,0
Mozambique,2009,January,0,0
Mozambique,2009,February,0,0
Mozambique,2009,March,0,0
Mozambique,2009,April,0,0
Mozambique,2009,May,0,0
Mozambique,2009,June,2,0
Mozambique,2009,July,0,0
Mozambique,2009,August,2,0
Mozambique,2009,September,8,0
Mozambique,2009,October,11,0
Mozambique,2009,November,2,0
Mozambique,2009,December,1,0
Mozambique,2010,January,1,0
Mozambique,2010,February,1,0
Mozambique,2010,March,2,0
Mozambique,2010,April,1,1
Mozambique,2010,May,2,0
Mozambique,2010,June,0,0
Mozambique,2010,July,1,0
Mozambique,2010,August,0,0
Mozambique,2010,September,0,0
Mozambique,2010,October,1,2
Mozambique,2010,November,0,0
Mozambique,2010,December,0,0
Mozambique,2011,January,2,0
Mozambique,2011,February,2,0
Mozambique,2011,March,0,0
Mozambique,2011,April,1,4
Mozambique,2011,May,0,0
Mozambique,2011,June,0,0
Mozambique,2011,July,0,0
Mozambique,2011,August,0,0
Mozambique,2011,September,0,0
Mozambique,2011,October,0,0
Mozambique,2011,November,0,0
Mozambique,2011,December,0,0
Mozambique,2012,January,1,0
Mozambique,2012,February,1,0
Mozambique,2012,March,1,1
Mozambique,2012,April,0,0
Mozambique,2012,May,0,0
Mozambique,2012,June,7,3
Mozambique,2012,July,3,2
Mozambique,2012,August,0,0
Mozambique,2012,September,1,0
Mozambique,2012,October,1,1
Mozambique,2012,November,0,0
Mozambique,2012,December,0,0
Mozambique,2013,January,1,0
Mozambique,2013,February,0,0
Mozambique,2013,March,4,3
Mozambique,2013,April,1,2
Mozambique,2013,May,0,0
Mozambique,2013,June,4,6
Mozambique,2013,July,2,0
Mozambique,2013,August,0,0
Mozambique,2013,September,1,0
Mozambique,2013,October,8,4
Mozambique,2013,November,12,5
Mozambique,2013,December,7,7
Mozambique,2014,January,10,4
Mozambique,2014,February,2,3
Mozambique,2014,March,1,0
Mozambique,2014,April,3,0
Mozambique,2014,May,3,1
Mozambique,2014,June,7,2
Mozambique,2014,July,0,0
Mozambique,2014,August,1,1
Mozambique,2014,September,4,0
Mozambique,2014,October,3,2
Mozambique,2014,November,0,0
Mozambique,2014,December,1,0
Mozambique,2015,January,0,0
Mozambique,2015,February,1,2
Mozambique,2015,March,0,0
Mozambique,2015,April,0,0
Mozambique,2015,May,0,0
Mozambique,2015,June,1,0
Mozambique,2015,July,0,0
Mozambique,2015,August,0,0
Mozambique,2015,September,2,2
Mozambique,2015,October,0,0
Mozambique,2015,November,0,0
Mozambique,2015,December,1,0
Mozambique,2016,January,1,1
Mozambique,2016,February,7,2
Mozambique,2016,March,3,2
Mozambique,2016,April,5,19
Mozambique,2016,May,4,2
Mozambique,2016,June,4,1
Mozambique,2016,July,1,1
Mozambique,2016,August,4,13
Mozambique,2016,September,6,6
Mozambique,2016,October,11,8
Mozambique,2016,November,1,1
Mozambique,2016,December,9,2
Mozambique,2017,January,11,10
Mozambique,2017,February,5,8
Mozambique,2017,March,7,8
Mozambique,2017,April,5,6
Mozambique,2017,May,6,8
Mozambique,2017,June,7,10
Mozambique,2017,July,5,6
Mozambique,2017,August,4,5
Mozambique,2017,September,3,4
Mozambique,2017,October,6,8
Mozambique,2017,November,7,6
Mozambique,2017,December,3,4
Mozambique,2018,January,6,10
Mozambique,2018,February,2,0
Mozambique,2018,March,4,3
Mozambique,2018,April,4,5
Mozambique,2018,May,6,15
