year,indicator_code,indicator_label,unit,source,angle,value
2012,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,73.8986592373324
2012,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,74.879013056623
2012,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.33889
2012,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,85.2793225598415
2012,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,31816
2012,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,116598
2012,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,22.2607352392838
2012,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,21.3468612312543
2012,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,21.7958519875503
2012,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,61.3987735604016
2012,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,72.2122774625477
2012,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.10915994644165
2012,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.14902997016907
2012,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,18.192
2012,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,7.952
2012,SM.POP.NETM,Net migration (count),count,worldbank,displacement,124427
2013,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,12.6924088303564
2013,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,4.82101956297399
2013,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,8162.37929361396
2013,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,19.68564224320395
2013,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,28.67505851830916
2013,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,74.7126436781609
2013,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,72.8300133082659
2013,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,73.7544885716129
2013,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,12.04695
2013,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,86.8028638212504
2013,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,39149
2013,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,106958
2013,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,20.213447171825
2013,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,19.1754890783068
2013,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,19.685642243204
2013,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,60.9482739750016
2013,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,8.20747
2013,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,71.2231189680025
2013,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,47439
2013,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,8.57551956176758
2013,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.4339599609375
2013,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,19.112
2013,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.477
2013,SM.POP.NETM,Net migration (count),count,worldbank,displacement,733500
2014,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,12.7731146128949
2014,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,1.8546042134091
2014,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,7577.6413302369
2014,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,26.27899420891341
2014,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,37.08088097796287
2014,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,63.2937582179596
2014,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,60.8064486033624
2014,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,62.027936833509
2014,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,12.32599
2014,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,78.51893817562
2014,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,39017
2014,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,160957
2014,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,26.7744976959749
2014,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,25.7995187627899
2014,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,26.2789942089134
2014,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,46.8999245398363
2014,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,7.74275
2014,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,59.2622758017054
2014,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,47833
2014,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,19.772
2014,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.84
2014,SM.POP.NETM,Net migration (count),count,worldbank,displacement,301111
2015,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,12.9303370474661
2015,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,-3.74914524799629
2015,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,7714.1099998804
2015,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,29.27030311403908
2015,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,38.9784086727276
2015,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,64.3831537416485
2015,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,62.5038173424111
2015,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,63.426873857404
2015,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,77.1609396441008
2015,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,186429
2015,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,29.9201521033844
2015,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,28.6405050533156
2015,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,29.2703031140391
2015,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,50.0054436581383
2015,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,58.1075064918095
2015,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,20.591
2015,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,9.312
2015,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-239829
2016,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,13.1839190317566
2016,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,-0.783359624361508
2016,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,8089.012088155
2016,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,26.28625721840928
2016,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,38.58166938436452
2016,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,67.344630602308
2016,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,64.9339481099279
2016,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,66.1112151282531
2016,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,12.17537
2016,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,76.5474649245479
2016,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,39967
2016,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,167102
2016,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,26.6455527638997
2016,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,25.9407266600423
2016,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,26.2862572184093
2016,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,50.092559334678
2016,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,7.67398
2016,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,59.4640916311345
2016,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,50049
2016,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.1489617762739
2016,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.17820270841405
2016,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,21.37
2016,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,9.794
2016,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-247921
2017,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,13.5334147463236
2017,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,4.32135218303191
2017,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,8608.21084982387
2017,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,24.73990560112433
2017,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,36.05046733074349
2017,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,69.5545038526225
2017,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,65.3441505519745
2017,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,67.3921729038641
2017,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,12.48274
2017,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,78.1223765134602
2017,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,40256
2017,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,159134
2017,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,24.8794805260882
2017,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,24.6063950163647
2017,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,24.7399056011243
2017,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,51.650640273934
2017,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,63.1400703776303
2017,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.14753618338492
2017,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.21606844423238
2017,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,22.039
2017,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,10.258
2017,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-253664
2018,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,13.9669362826597
2018,CR.1,"Completion rate, primary (%)",%,uis,learning,96.85648345947266
2018,CR.2,"Completion rate, lower secondary (%)",%,uis,learning,83.52851104736328
2018,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,6.07698907889607
2018,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,9174.53666204759
2018,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,25.29924112025396
2018,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,34.63611731408805
2018,SE.ADT.1524.LT.ZS,Youth literacy rate 15–24 (%),%,worldbank,learning,96.7600021362305
2018,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,68.8675188616551
2018,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,64.9944690265487
2018,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,66.8744426101971
2018,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,77.5757280340719
2018,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,166088
2018,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,25.382575048368
2018,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,25.2197694280936
2018,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,25.299241120254
2018,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,53.5620706411441
2018,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,64.2435656996928
2018,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,8.04745452306935
2018,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.6165251225734
2018,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,22.668
2018,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,10.755
2018,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-259700
2019,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,14.4798321948313
2019,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,3.00538949390383
2019,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,8905.88005497437
2019,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,25.93979014612158
2019,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,33.91533734912922
2019,SE.ADT.1524.LT.ZS,Youth literacy rate 15–24 (%),%,worldbank,learning,96.6653219716309
2019,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,69.3005831691963
2019,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,66.0770826509444
2019,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,67.6409968146899
2019,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,77.0927924297378
2019,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,40600
2019,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,173794
2019,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,25.9854202165248
2019,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,25.8963156406751
2019,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,25.9397901461216
2019,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,55.7753651037663
2019,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,65.2767643910733
2019,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,8.14395344750151
2019,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.51957250612723
2019,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,23.28
2019,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,11.301
2019,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-266992
2020,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,15.0597838146133
2020,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,84.8643330472041
2020,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,5561.19166950397
2020,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,26.80922771257221
2020,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,35.08559113494506
2020,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,69.6094178114548
2020,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,65.6966175998859
2020,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,67.5957261429816
2020,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,76.1016961624784
2020,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,40911
2020,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,182162
2020,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,26.8980699638118
2020,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,26.7245418613008
2020,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,26.8092277125722
2020,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,54.4841201387691
2020,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,65.89697761206
2020,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,9.89828549998226
2020,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.4354185601396
2020,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,26.576
2020,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,13.252
2020,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-47787
2021,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,15.6887325185686
2021,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,154.756096023393
2021,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4045.37391066234
2021,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,28.00069783670621
2021,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,33.94071702625941
2021,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,66.6327135343359
2021,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,67.8492356352135
2021,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,67.2569563414062
2021,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,74.7292217654682
2021,SE.PRM.TCAQ.ZS,"Trained teachers, primary (%)",%,worldbank,teacher,22.573051948052
2021,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,36960
2021,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,190995
2021,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,28.2079748913047
2021,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,27.8026700149353
2021,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,28.0006978367062
2021,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,61.0882674137031
2021,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,67.5143617766569
2021,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,25.203
2021,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,12.715
2021,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-27290
2021,TRTP.1,"Trained teachers, primary (%)",%,uis,teacher,22.57305194805195
2022,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,16.3292840259845
2022,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,171.205491336641
2022,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,3654.35845534878
2022,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,27.19800787495385
2022,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,32.32502874664623
2022,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,69.2872155384838
2022,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,67.0202107445155
2022,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,68.126669142746
2022,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,76.4541233193651
2022,SE.PRM.TCAQ.ZS,"Trained teachers, primary (%)",%,worldbank,teacher,34.8860505885299
2022,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,35937
2022,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,184913
2022,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,27.4740782196867
2022,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,26.9340001323623
2022,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,27.1980078749538
2022,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,56.0278837054596
2022,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,64.5017084327233
2022,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,8.85817043035745
2022,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,1.33151427628711
2022,SI.POV.DDAY,Poverty headcount ($2.15/day) (%),%,worldbank,economic,5.8
2022,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,22.9
2022,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,11.105
2022,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-27507
2022,TRTP.1,"Trained teachers, primary (%)",%,uis,teacher,34.88605058852993
2023,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,16.9865139158175
2023,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,221.341644023365
2023,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,3477.72489842684
2023,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,25.6683486662867
2023,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,32.73297520735856
2023,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,68.6275558407758
2023,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,65.9647387805211
2023,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,67.2665475619853
2023,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,78.2026874196176
2023,SE.PRM.TCAQ.ZS,"Trained teachers, primary (%)",%,worldbank,teacher,40.7967488665266
2023,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,36172
2023,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,172038
2023,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,25.789195675339
2023,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,25.5528613987634
2023,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,25.6683486662867
2023,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,52.9191388840188
2023,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,62.8279212477627
2023,SE.SEC.TCAQ.ZS,"Trained teachers, secondary (%)",%,worldbank,teacher,42.4003358967559
2023,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,45252
2023,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,1.50416361108086
2023,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,22.744
2023,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,10.985
2023,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-34193
2023,TRTP.1,"Trained teachers, primary (%)",%,uis,teacher,40.79674886652659
2024,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,17.6006070344969
2024,FP.CPI.TOTL.ZG,Inflation (%),%,worldbank,economic,45.2430422716718
2024,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,22.51252091928375
2024,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,32.49454963387758
2024,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,81.7691124093498
2024,SE.PRM.TCAQ.ZS,"Trained teachers, primary (%)",%,worldbank,teacher,53.7480585302052
2024,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,36699
2024,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,146896
2024,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,22.3638019279681
2024,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,22.6543087912154
2024,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,22.5125209192838
2024,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,63.7923011779785
2024,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,6.11399088041832
2024,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,1.22490869993085
2024,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-17267
2024,TRTP.1,"Trained teachers, primary (%)",%,uis,teacher,53.74805853020518
2025,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,8.59284340785173
2025,SM.POP.NETM,Net migration (count),count,worldbank,displacement,-10230
